Entry ID,Lemma ID,Code (survey),Batch (survey),List (survey),Item (survey),English Word Frequency,Frequency,Frequency SD,Frequency Z,Frequency N,Sign Unknown,Frequency (Native),Frequency SD (Native),Frequency Z (Native),Frequency N (Native),Sign Unknown (Native) (proportion),Frequency (Nonnative),Frequency SD (Nonnative),Frequency N (Nonnative),Frequency Z (Nonnative),Sign Unknown (Nonnative) (proportion),Dominant Translation,Dominant Translation Agreement (proportion),Dominant Translation Agreement (Native) (proportion),Dominant Translation Agreement (Nonnative) (proportion),Nondominant Translations,Non-Signer Iconicity,Non-Signer Iconicity SD,Non-Signer Iconicity Z,Non-Signer Iconicity N,Non-Signer Iconicity ID,Deaf Signer Iconicity,Deaf Signer Iconicity SD,Deaf Signer Iconicity N,Deaf Signer Iconicity Z,Deaf Signer Iconicity (Native),Deaf Signer Iconicity SD (Native),Deaf Signer Iconicity Z (Native),Deaf Signer Iconicity N (Native),Consistency of Guesses,Accuracy of Guesses (proportion),Transparency,Transparency SD,Transparency Z,Lexical Class,Initialized Sign,Fingerspelled Loan Sign,Compound,Number Of Morphemes,Sign Onset,Sign Offset,Sign Duration,Video Duration,Handshape,Selected Fingers,Flexion,Flexion Change,Spread,Spread Change,Thumb Position,Thumb Contact,Sign Type,Path Movement,Repeated Movement,Major Location,Minor Location,Second Minor Location,Contact,Nondominant Handshape,Wrist Twist,Handshape Morpheme 2,Selected Fingers Morpheme 2,Flexion Morpheme 2,Flexion Change Morpheme 2,Spread Morpheme 2,Spread Change Morpheme 2,Thumb Position Morpheme 2,Thumb Contact Morpheme 2,Sign Type Morpheme 2,Movement Morpheme 2,Repeated Movement Morpheme 2,Major Location Morpheme 2,Minor Location Morpheme 2,Second Minor Location Morpheme 2,Contact Morpheme 2,Nondominant Handshape Morpheme 2,Wrist Twist Morpheme 2,Handshape Morpheme 3,Selected Fingers Morpheme 3,Flexion Morpheme 3,Flexion Change Morpheme 3,Spread Morpheme 3,Spread Change Morpheme 3,Thumb Position Morpheme 3,Thumb Contact Morpheme 3,Signtype Morpheme 3,Movement Morpheme 3,Repeated Movement Morpheme 3,Major Location Morpheme 3,Minor Location Morpheme 3,Second Minor Location Morpheme 3,Contact Morpheme 3,Nondominant Handshape Morpheme 3,Wrist Twist Morpheme 3,Handshape Morpheme 4,Selected Fingers Morpheme 4,Flexion Morpheme 4,Flexion Change Morpheme 4,Spread Morpheme 4,Spread Change Morpheme 4,Thumb Position Morpheme 4,Thumb Contact Morpheme 4,Sign Type Morpheme 4,Movement Morpheme 4,Repeated Movement Morpheme 4,Major Location Morpheme 4,Minor Location Morpheme 4,Second Minor Location Morpheme 4,Contact Morpheme 4,Nondominant Handshape Morpheme 4,Wrist Twist Morpheme 4,Handshape Morpheme 5,Selected Fingers Morpheme 5,Flexion Morpheme 5,Flexion Change Morpheme 5,Spread Morpheme 5,Spread Change Morpheme 5,Thumb Position Morpheme 5,Thumb Contact Morpheme 5,Sign Type Morpheme 5,Movement Morpheme 5,Repeated Movement Morpheme 5,Major Location Morpheme 5,Minor Location Morpheme 5,Second Minor Location Morpheme 5,Contact Morpheme 5,Nondominant Handshape Morpheme 5,Wrist Twist Morpheme 5,Handshape Morpheme 6,Selected Fingers Morpheme 6,Flexion Morpheme 6,Flexion Change Morpheme 6,Spread Morpheme 6,Spread Change Morpheme 6,Thumb Position Morpheme 6,Thumb Contact Morpheme 6,Sign Type Morpheme 6,Movement Morpheme 6,Repeated Movement Morpheme 6,Major Location Morpheme 6,Minor Location Morpheme 6,Second Minor Location Morpheme 6,Contact Morpheme 6,Nondominant Handshape Morpheme 6,Wrist Twist Morpheme 6,Sign Type Frequency,Major Location Frequency,Minor Location Frequency,Second Minor Location Frequency,Movement Frequency,Selected Fingers Frequency,Flexion Frequency,Flexion Change Frequency,Repeated Movement Frequency,Contact Frequency,Spread Frequency,Spread Change Frequency,Thumb Contact Frequency,Thumb Position Frequency,Ulnar Rotation Frequency,Neighborhood Density,Parameter Neighborhood Density,Phonotactic Probability,Phonological Complexity,SignBank Semantic Field,SignBank Reference ID,In CDI,CDI Semantic Category,Age Of Acquisition,Age Of Acquisition (Empirical),Handshape Image
after,after,B_02_030,B,2,30,4.542,3.88,1.509,-0.432,25,0.0,3.786,1.477,-0.482,14,0.0,4.0,1.612,11,-0.369,0.0,,,,,,3.2,1.562,0.212,30.0,,3.03,1.99,31.0,0.06,3.18,1.94,0.16,22.0,1.28,0.0,4.05,1.88,0.37,Minor,0,0,0,1,534,1034,501,1702,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,Asymmetrical Same Handshape,Curved,0,Hand,Finger Radial,Finger Back,0,open_b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,0.25,0.035,0.01,0.233,0.449,0.409,0.791,0.554,0.378,0.602,0.878,0.684,0.657,0.164,1,266,-0.055,2.0,Locative,1971.0,Yes,Signs About Time,48.0,35.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
airplane,airplane,D_03_068,D,3,68,2.747,4.808,1.47,0.379,26,0.0,5.188,1.328,0.548,16,0.0,4.2,1.549,10,0.108,0.0,,,,,,1.773,1.193,-0.616,22.0,,5.04,1.54,26.0,0.99,5.17,1.34,1.08,18.0,,,,,,Noun,0,0,0,1,467,1668,1201,1869,ily,ip,Fully Open,0.0,,,Open,0.0,One Handed,Straight,1,Neutral,Neutral,Neutral,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.363,0.363,0.426,0.457,0.007,0.409,0.791,0.446,0.378,0.0,0.0,0.684,0.657,0.836,4,441,0.187,2.0,None,401.0,Yes,Vehicles,26.0,23.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/ily.png"" />"
all,all,C_03_088,C,3,88,5.42,5.3,1.685,0.564,30,0.0,5.444,1.58,0.535,18,0.0,5.083,1.881,12,0.607,0.0,,,,,,2.8,1.451,-0.093,35.0,,2.2,1.61,30.0,-0.37,2.48,1.81,-0.28,21.0,,,,,,Minor,0,0,0,1,367,1335,968,2102,open_b,imrp,Fully Open,0.0,0.0,0.0,Open,0.0,Asymmetrical Same Handshape,Circular,0,Hand,Hand Away,Finger Front,1,open_b,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,0.25,0.035,0.016,0.076,0.449,0.409,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.164,3,120,0.019,2.0,Attribute,11.0,Yes,Quantifiers,44.0,28.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/open_b.png"" />"
animal,animal,B_03_002,B,3,2,3.366,5.4,1.155,0.476,25,0.0,5.571,1.158,0.553,14,0.0,5.182,1.168,11,0.378,0.0,,,,,,1.6,1.133,-0.603,30.0,,1.45,0.85,31.0,-0.76,1.5,0.91,-0.71,22.0,2.46,0.0,3.95,1.4,0.43,Noun,0,0,0,1,567,1235,667,1902,flat_b,imrp,Flat,0.0,0.0,0.0,Open,0.0,Symmetrical Or Alternating,Straight,1,Body,Torso Top,,1,flat_b,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.345,0.094,0.032,0.0,0.457,0.449,0.162,0.791,0.446,0.622,0.602,0.878,0.684,0.657,0.836,5,165,0.155,1.0,Animal,16.0,Yes,Animals,29.0,19.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/flat_b.png"" />"
any,any,G_01_016,G,1,16,4.749,5.259,1.375,0.592,27,0.0,5.25,1.138,0.579,12,0.0,5.267,1.58,15,0.602,0.0,,,,,,1.867,1.676,-0.763,30.0,,,,,,,,,,,,,,,Minor,1,0,0,1,434,1168,734,1835,a,t,,,,,Open,,One Handed,Curved,0,Neutral,Neutral,Neutral,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.363,0.363,0.426,0.233,0.057,0.0,0.0,0.554,0.378,0.0,0.0,0.0,0.657,0.164,3,310,-0.521,3.0,None,2070.0,Yes,Quantifiers,56.0,36.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
apple,apple,A_03_054,A,3,54,3.082,5.72,1.275,0.898,25,0.0,5.733,1.28,0.921,15,0.0,5.7,1.337,10,0.864,0.0,,,,,,1.619,1.284,-0.88,21.0,,1.23,0.67,31.0,-1.06,1.26,0.81,-0.98,19.0,,,,,,Noun,0,0,0,1,400,968,567,1134,bent_1,i,Bent,0.0,,,Closed,0.0,One Handed,None,1,Head,Cheek Nose,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.035,0.0,0.153,0.261,0.099,0.791,0.446,0.622,0.0,0.0,0.684,0.343,0.164,3,235,-0.527,1.0,Food,406.0,Yes,Food and Drink,25.0,14.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/bent_1.png"" />"
arm,arm,C_03_043,C,3,43,3.523,2.9,1.494,-0.842,30,0.0,3.0,1.534,-0.866,18,0.0,2.75,1.485,12,-0.806,0.0,,,,,,6.514,1.245,1.734,35.0,,5.93,1.55,30.0,1.66,6.24,1.51,1.78,21.0,1.66,0.65,4.3,1.98,0.52,Noun,0,0,0,1,534,1168,634,1835,c,imrp,Curved,0.0,0.0,0.0,Open,0.0,One Handed,Straight,0,Arm,Upper Arm,Forearm Back,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.026,0.005,0.003,0.457,0.449,0.225,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,8,76,0.284,1.0,None,2075.0,No,Body Parts,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/c.png"" />"
arm_2,arm_2,K_01_095,K,1,95,3.523,3.2,1.824,-0.42,27,0.259,2.0,1.155,-0.697,11,0.364,3.846,1.819,16,-0.27,0.188,,,,,,5.96,1.594,1.177,25.0,ARM,,,,,,,,,,,,,,Noun,0,0,0,1,400,2002,1602,2569,1,i,Fully Open,0.0,,,Closed,0.0,One Handed,Straight,1,Arm,Forearm Back,Forearm Back,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.026,0.003,0.003,0.457,0.261,0.409,0.791,0.446,0.622,0.0,0.0,0.684,0.343,0.836,9,136,-0.271,1.0,None,2075.0,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/1.png"" />"
arm_3,arm_3,K_02_002,K,2,2,3.523,3.0,2.251,-0.743,25,0.36,1.5,0.548,-1.202,11,0.455,3.9,2.424,14,-0.468,0.286,,,,,,6.292,1.122,1.322,24.0,ARM,,,,,,,,,,,,,,Noun,0,0,0,1,601,1735,1134,2402,c,imrp,Curved,0.0,0.0,0.0,Open,0.0,One Handed,Straight,0,Arm,Forearm Ulnar,Elbow Back,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.026,0.006,0.004,0.457,0.449,0.225,0.791,0.554,0.622,0.602,0.878,0.684,0.657,0.836,9,76,0.285,1.0,,,No,,,,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/c.png"" />"
aunt,aunt,E_02_027,E,2,27,3.45,3.625,1.641,-0.346,32,0.0,3.533,1.506,-0.387,15,0.0,3.706,1.795,17,-0.311,0.0,,,,,,1.833,1.859,-0.925,30.0,,,,,,,,,,,,,,,Noun,1,0,0,1,467,1368,901,1869,a,t,,,,,Open,,One Handed,None,1,Head,Head Away,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392,0.266,0.066,0.0,0.153,0.057,0.0,0.0,0.446,0.378,0.0,0.0,0.0,0.657,0.164,0,258,-1.045,2.0,People,24.0,Yes,People,33.0,14.0,"<img width=""100"" height=""100"" src=""https://aslcdi.website/images/handshape_images/a.png"" />"
